Product;Min. Price;Max. Price;Link;Form Factor;Socket;Chipset;Memory slots;Connectors;Expansion
MSI X670E GAMING PLUS WIFI;£209.99;£249.99;e-catalog.co.uk/MSI-X670E-GAMING-PLUS-WIFI.htm;ATX;AMD AM5;AMD X670E;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 3
ASRock B650 Pro RS;£157.99;£302.99;e-catalog.co.uk/ASROCK-B650-PRO-RS.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI PRO B650-S WIFI;£138.26;£199.83;e-catalog.co.uk/MSI-PRO-B650-S-WIFI.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Asus TUF GAMING B550-PLUS WIFI II;£105.98;£314.99;e-catalog.co.uk/ASUS-TUF-GAMING-B550-PLUS-WIFI-II.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4866 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 3, PCI-E 16x - 2
Asus ROG CROSSHAIR X870E HERO;£569.99;£755.11;e-catalog.co.uk/ASUS-ROG-CROSSHAIR-X870E-HERO.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8200 MHz;HDMI, M.2, SAS;PCI-E 16x - 2
Gigabyte B650E AORUS STEALTH ICE;£258.99;£353.26;e-catalog.co.uk/GIGABYTE-B650E-AORUS-STEALTH-ICE.htm;ATX;AMD AM5;AMD B650E;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 1
Asus ROG STRIX B760-F GAMING WIFI;£209.99;£489.98;e-catalog.co.uk/ASUS-ROG-STRIX-B760-F-GAMING-WIFI.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
MSI B550M PRO-VDH WIFI;£93.99;£225.00;e-catalog.co.uk/MSI-B550M-PRO-VDH-WIFI.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Gigabyte B650M GAMING X AX;£133.99;£198.99;e-catalog.co.uk/GIGABYTE-B650M-GAMING-X-AX.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
Asus PRIME B650M-R;£99.99;£254.99;e-catalog.co.uk/ASUS-PRIME-B650M-R.htm;micro-ATX;AMD AM5;AMD B650;2 х DDR5, 7200 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
ASRock A520M-HVS;£48.97;£82.99;e-catalog.co.uk/ASROCK-A520M-HVS.htm;micro-ATX;AMD AM4;AMD A520;2 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus ROG STRIX B850-E GAMING WIFI;£335.99;£411.53;e-catalog.co.uk/ASUS-ROG-STRIX-B850-E-GAMING-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
ASRock B550 Pro4;£89.99;£114.99;e-catalog.co.uk/ASROCK-B550-PRO4.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 3, PCI-E 16x - 2
Gigabyte A520 AORUS ELITE;£77.39;£108.77;e-catalog.co.uk/GIGABYTE-A520-AORUS-ELITE.htm;ATX;AMD AM4;AMD A520;4 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 3, PCI-E 16x - 2
ASRock X870E Taichi Lite;£406.31;£437.76;e-catalog.co.uk/ASROCK-X870E-TAICHI-LITE.htm;E-ATX;AMD AM5;AMD X870E;4 х DDR5, 8200 MHz;HDMI, M.2;PCI-E 16x - 2
Asus PRIME B550M-A;£91.99;£256.99;e-catalog.co.uk/ASUS-PRIME-B550M-A.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4400 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Asus ROG STRIX B850-F GAMING WIFI;£289.99;£368.21;e-catalog.co.uk/ASUS-ROG-STRIX-B850-F-GAMING-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
Gigabyte B550M DS3H AC;£93.99;£109.99;e-catalog.co.uk/GIGABYTE-B550M-DS3H-AC.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Gigabyte A520M K V2;£47.97;£61.99;e-catalog.co.uk/GIGABYTE-A520M-K-V2.htm;micro-ATX;AMD AM4;AMD A520;2 х DDR4, 5100 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus TUF GAMING B450M-PLUS II;£82.22;£124.99;e-catalog.co.uk/ASUS-TUF-GAMING-B450M-PLUS-II.htm;micro-ATX;AMD AM4;AMD B450;4 х DDR4, 4400 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Gigabyte B650I AX;£139.62;£192.87;e-catalog.co.uk/GIGABYTE-B650I-AX.htm;mini-ITX;AMD AM5;AMD B650;2 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
Gigabyte X870I AORUS PRO ICE;£289.99;£372.96;e-catalog.co.uk/GIGABYTE-X870I-AORUS-PRO-ICE.htm;mini-ITX;AMD AM5;AMD X870;2 х DDR5, 8800 MHz;HDMI, M.2;PCI-E 16x - 1
MSI MAG Z790 TOMAHAWK MAX WIFI;£245.99;£279.98;e-catalog.co.uk/MSI-MAG-Z790-TOMAHAWK-MAX-WIFI.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock A620M-HDV/M.2+;£86.99;£99.99;e-catalog.co.uk/ASROCK-A620M-HDV-M-2PLUS.htm;micro-ATX;AMD AM5;AMD A620;2 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
ASRock B650M PG Riptide;£138.99;£238.99;e-catalog.co.uk/ASROCK-B650M-PG-RIPTIDE.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
MSI PRO H610M-E DDR4;£56.49;£84.95;e-catalog.co.uk/MSI-PRO-H610M-E-DDR4.htm;micro-ATX;Intel LGA 1700;Intel H610;2 х DDR4, 3200 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus ROG STRIX B550-F GAMING;£139.99;£449.99;e-catalog.co.uk/ASUS-ROG-STRIX-B550-F-GAMING.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 5100 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 3, PCI-E 16x - 2
